@id,@lon,@lat,name
309879651,21.4266878,41.9919017,Рамстор
357985526,21.4434940,41.9772294,
357985538,21.4437823,41.9773074,
364985725,21.3649348,42.0068279,SP Planet
365292857,21.4044920,41.9973251,
365292859,21.4043619,41.9968067,
365292860,21.4052236,41.9966872,
365292861,21.4053538,41.9972056,
365809239,21.3901379,42.0014364,
365809241,21.3900091,42.0009385,
365809242,21.3904510,42.0008754,
365809243,21.3905799,42.0013733,
365814518,21.3950133,42.0044756,
365814520,21.3949059,42.0040370,
365814521,21.3952139,42.0039954,
365814522,21.3953213,42.0044340,
367666001,21.3829246,42.0063820,
375645834,21.3634616,42.0070862,Тинекс Ѓорче Петров
386723243,22.0125082,41.4336677,Tinex
416378486,21.2162734,41.5131208,Александрија
416404340,21.4394478,41.9993948,
416417027,21.4548174,41.9897519,Тинекс
417322815,21.2164115,41.5139095,Filipos
446060614,21.4779276,41.9965203,
446060615,21.4779769,41.9961439,
446060616,21.4773963,41.9961019,
446060617,21.4773471,41.9964783,
446388134,21.4688286,41.9845218,Веро
447952669,21.3159062,41.0227375,
447952672,21.3162969,41.0230164,
447952674,21.3165799,41.0228090,
447952678,21.3161801,41.0225403,
452425571,21.3345100,41.0316830,
452425572,21.3352547,41.0316366,
452425574,21.3352908,41.0320549,
452425576,21.3348159,41.0320371,
457409795,21.3352997,41.0291859,
457409796,21.3351216,41.0291271,
457409797,21.3350869,41.0291869,
457409799,21.3349094,41.0291282,
457409800,21.3350305,41.0289195,
457409801,21.3351474,41.0289581,
457409802,21.3351727,41.0289145,
457409803,21.3354115,41.0289934,
459669395,21.4345769,41.9947502,Веро 7
461665539,22.6414839,41.4382823,Tinex
461665625,22.6419646,41.4381600,Horizont
462175886,22.6513455,41.4415567,My Market
462175894,22.6485615,41.4409897,Technomarket
470599988,21.4370214,41.9925332,Tinex
470616644,21.4111760,41.9903083,Tinex
471353305,21.5224241,41.9368193,
471353312,21.5163515,41.9389540,
471354190,21.5212225,41.9323179,
497552470,22.8568149,41.7064232,
543381663,20.7337561,41.6613792,Аце
543381664,20.7362141,41.6504797,Лазе
569629582,21.4752382,41.9801204,Рептил Маркет
570694121,20.6805797,41.1810037,Тинекс
577538728,21.4350123,42.0197651,Prince
774767534,21.0151314,41.0857428,KAM market
913077733,22.0097653,41.4399919,TD
913077735,22.0092040,41.4394290,Bako&Stojna
913077736,22.0089787,41.4394773,DTS Market  Silvana & Dobri
